face_name,source_tile(archived)
face01,old_r1c1
face02,old_r1c2
face03,old_r1c3
face04,old_r1c4
face05,old_r1c5
face06,old_r2c1
face07,old_r2c2
face08,old_r2c3
face09,old_r2c4
face10,old_r2c5
face11,old_r3c1
face12,old_r3c2
face13,old_r3c3
face14,old_r3c4
face15,old_r3c5
face16,new_r1c1
face17,new_r1c2
face18,new_r1c3
face19,new_r1c4
face20,new_r1c5
face21,new_r1c6
face22,new_r2c1
face23,new_r2c2
face24,new_r2c3
face25,new_r2c4
face26,new_r2c5
face27,new_r2c6
face28,new_r3c1
face29,new_r3c2
face30,new_r3c3
face31,new_r3c4
face32,new_r3c5
face33,new_r3c6
face34,new_r4c1
face35,new_r4c2
face36,new_r4c3
face37,new_r4c4
face38,new_r4c5
face39,new_r4c6
